Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
500650,EXCELINDUS,B,580.00,596.05,575.00,576.35,281,1.64,25
522275,GET&D,A,89.50,91.75,87.25,90.25,1808,1.63,184
532974,BIRLAMONEY,B,23.45,24.80,23.45,24.45,6607,1.61,175
502157,MANGLMCEM,B,154.25,158.00,151.60,155.50,1036,1.60,53
540073,BLS,B,33.15,34.70,32.20,34.00,4745,1.59,129
542934,CBPL,M,37.00,38.00,37.00,37.50,4000,1.50,2
540824,ASTRON,B,31.40,31.40,28.65,28.95,5033,1.49,75
532636,IIFL,A,78.95,80.00,78.05,78.50,1866,1.48,50
500060,BIRLACABLE,B,42.60,43.00,40.60,41.45,3531,1.48,62
523204,ABAN,B,22.59,22.59,22.59,22.59,6387,1.44,28
533293,KIRLOSENG,B,109.50,115.20,108.60,110.50,1278,1.42,94
532513,TVSELECT,B,74.30,74.30,70.95,71.30,1946,1.40,167
530803,BHAGIL,B,92.85,96.00,92.80,94.75,1477,1.39,97
532638,SHOPERSTOP,A,194.95,195.00,187.35,190.90,717,1.37,154
505800,RANEHOLDIN,B,395.45,395.50,377.00,377.55,351,1.36,21
540879,APOLLO,B,59.95,60.90,58.70,60.45,2262,1.35,107
500241,KIRLOSBROS,B,98.75,98.75,96.05,97.85,1363,1.33,118
524330,JAYAGROGN,B,80.10,80.10,73.00,74.00,1792,1.33,29
534675,PROZONINTU,B,10.99,11.50,10.99,10.99,11856,1.31,24
538268,WONDERLA,B,130.25,130.50,126.50,129.85,1008,1.30,111
532927,ECLERX,A,440.00,444.75,430.00,437.85,286,1.26,33
500128,ELECTCAST,B,10.40,10.60,10.20,10.47,11891,1.24,49
542721,ARL,M,31.00,31.00,31.00,31.00,4000,1.24,1
570002,FELDVR,B,14.35,14.38,14.35,14.38,8528,1.23,20
505075,SETCO,B,9.74,9.75,9.20,9.32,12799,1.21,96
519156,VADILALIND,B,490.05,521.00,487.10,521.00,240,1.20,55
500840,EIHOTEL,A,76.95,76.95,74.75,75.35,1503,1.14,27
530135,OPTIEMUS,B,21.20,21.55,21.20,21.55,5272,1.14,336
505010,AUTOAXLES,B,466.90,504.35,461.90,491.85,231,1.11,28
539276,KAYA,B,172.50,177.80,166.10,169.75,648,1.09,28
532180,DHANBANK,B,10.40,10.45,10.00,10.27,10671,1.09,83
532864,NELCAST,B,42.35,43.95,41.15,43.25,2538,1.08,73
533482,KRIINFRA,B,1.86,1.86,1.78,1.86,57842,1.08,43
532915,RELIGARE,B,29.00,29.00,27.60,27.60,3847,1.06,23
532348,SUBEX,B,3.80,3.89,3.79,3.84,27499,1.05,67
532528,DATAMATICS,B,53.90,53.90,52.55,53.50,1950,1.04,20
532622,GDL,A,90.45,90.80,89.10,90.40,1161,1.04,201
521016,ICIL,B,27.90,28.70,27.60,28.25,3635,1.02,43
543171,ROJL,M,34.00,34.00,34.00,34.00,3000,1.02,1
533023,WABCOINDIA,A,6300.00,6300.00,6282.10,6290.80,16,1.01,8
532486,POKARNA,B,65.50,65.55,61.40,65.55,1583,1.01,45
540027,PTIL,T,333.40,334.80,333.40,334.80,300,1.00,2
541336,INDOSTAR,A,269.25,269.25,267.05,268.00,369,0.99,270
540366,RADIOCITY,B,15.86,15.86,13.20,13.60,7111,0.98,43
507514,SDBL,T,74.00,75.70,74.00,75.45,1287,0.97,16
539597,JSLHISAR,A,45.00,45.00,43.70,44.80,2162,0.96,44
538567,GULFOILLUB,A,560.00,560.00,541.05,556.95,170,0.94,59
500102,BALLARPUR,B,0.40,0.40,0.38,0.40,232530,0.93,43
531978,AMBIKCO,B,621.00,673.45,605.00,661.35,147,0.93,13
541700,TCNSBRANDS,A,422.40,424.95,403.25,410.75,226,0.93,90
526608,ELECTHERM,B,89.60,90.60,85.50,87.15,1040,0.92,55
539404,SATIN,B,66.50,67.60,63.75,65.05,1415,0.92,32
533218,EMAMIREAL,B,34.60,34.60,31.05,31.05,2887,0.92,59
